"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",0.857142857142857,1,0.75,1,0.818181818181818,0.909090909090909,0.889069264069264
"Specificity",0.909090909090909,1,0.909090909090909,0.5,0.916666666666667,0.714285714285714,0.8248556998557
"Pos Pred Value",0.857142857142857,1,0.857142857142857,0.916666666666667,0.9,0.833333333333333,0.894047619047619
"Neg Pred Value",0.909090909090909,1,0.833333333333333,1,0.846153846153846,0.833333333333333,0.903651903651904
"Precision",0.857142857142857,1,0.857142857142857,0.916666666666667,0.9,0.833333333333333,0.894047619047619
"Recall",0.857142857142857,1,0.75,1,0.818181818181818,0.909090909090909,0.889069264069264
"F1",0.857142857142857,1,0.8,0.956521739130435,0.857142857142857,0.869565217391304,0.890062111801242
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.333333333333333,0.421052631578947,0.315789473684211,0.846153846153846,0.391304347826087,0.555555555555556,0.477198198021997
"Detection Prevalence",0.388888888888889,0.421052631578947,0.368421052631579,0.923076923076923,0.434782608695652,0.666666666666667,0.533814795256443
"Balanced Accuracy",0.883116883116883,1,0.829545454545455,0.75,0.867424242424242,0.811688311688312,0.856962481962482
