"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",0.857142857142857,0.875,0.875,1,0.818181818181818,0.909090909090909,0.889069264069264
"Specificity",0.909090909090909,0.909090909090909,0.818181818181818,0,0.833333333333333,0.571428571428571,0.673520923520923
"Pos Pred Value",0.857142857142857,0.875,0.777777777777778,0.846153846153846,0.818181818181818,0.769230769230769,0.823914511414511
"Neg Pred Value",0.909090909090909,0.909090909090909,0.9,NA,0.833333333333333,0.8,NA
"Precision",0.857142857142857,0.875,0.777777777777778,0.846153846153846,0.818181818181818,0.769230769230769,0.823914511414511
"Recall",0.857142857142857,0.875,0.875,1,0.818181818181818,0.909090909090909,0.889069264069264
"F1",0.857142857142857,0.875,0.823529411764706,0.916666666666667,0.818181818181818,0.833333333333333,0.853975681181563
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.333333333333333,0.368421052631579,0.368421052631579,0.846153846153846,0.391304347826087,0.555555555555556,0.477198198021997
"Detection Prevalence",0.388888888888889,0.421052631578947,0.473684210526316,1,0.478260869565217,0.722222222222222,0.580684803796932
"Balanced Accuracy",0.883116883116883,0.892045454545455,0.846590909090909,0.5,0.825757575757576,0.74025974025974,0.781295093795094
