"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,0.875,0.636363636363636,0.636363636363636,0.818181818181818,0.827651515151515
"Specificity",0.727272727272727,0.636363636363636,0.727272727272727,1,0.916666666666667,1,0.834595959595959
"Pos Pred Value",0.7,0.666666666666667,0.7,1,0.875,1,0.823611111111111
"Neg Pred Value",1,1,0.888888888888889,0.333333333333333,0.733333333333333,0.777777777777778,0.788888888888889
"Precision",0.7,0.666666666666667,0.7,1,0.875,1,0.823611111111111
"Recall",1,1,0.875,0.636363636363636,0.636363636363636,0.818181818181818,0.827651515151515
"F1",0.823529411764706,0.8,0.777777777777778,0.777777777777778,0.736842105263158,0.9,0.802654512097237
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.368421052631579,0.538461538461538,0.304347826086957,0.5,0.420195322941318
"Detection Prevalence",0.555555555555556,0.631578947368421,0.526315789473684,0.538461538461538,0.347826086956522,0.5,0.51662298630262
"Balanced Accuracy",0.863636363636364,0.818181818181818,0.801136363636364,0.818181818181818,0.776515151515151,0.909090909090909,0.831123737373737
