"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,0.75,1,0.818181818181818,0.909090909090909,0.912878787878788
"Specificity",0.909090909090909,1,0.909090909090909,0,0.916666666666667,0.714285714285714,0.741522366522366
"Pos Pred Value",0.875,1,0.857142857142857,0.846153846153846,0.9,0.833333333333333,0.885271672771673
"Neg Pred Value",1,1,0.833333333333333,NA,0.846153846153846,0.833333333333333,NA
"Precision",0.875,1,0.857142857142857,0.846153846153846,0.9,0.833333333333333,0.885271672771673
"Recall",1,1,0.75,1,0.818181818181818,0.909090909090909,0.912878787878788
"F1",0.933333333333333,1,0.8,0.916666666666667,0.857142857142857,0.869565217391304,0.89611801242236
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.315789473684211,0.846153846153846,0.391304347826087,0.555555555555556,0.486457457281256
"Detection Prevalence",0.444444444444444,0.421052631578947,0.368421052631579,1,0.434782608695652,0.666666666666667,0.555894567336215
"Balanced Accuracy",0.954545454545455,1,0.829545454545455,0.5,0.867424242424242,0.811688311688312,0.827200577200577
