"","Breast","CRC","GBM","Hepatobiliary","Lung","Pancreas","average"
"Sensitivity",1,1,1,0.727272727272727,0.727272727272727,0.909090909090909,0.893939393939394
"Specificity",0.909090909090909,0.818181818181818,0.818181818181818,1,0.916666666666667,1,0.910353535353535
"Pos Pred Value",0.875,0.8,0.8,1,0.888888888888889,1,0.893981481481481
"Neg Pred Value",1,1,1,0.4,0.785714285714286,0.875,0.843452380952381
"Precision",0.875,0.8,0.8,1,0.888888888888889,1,0.893981481481481
"Recall",1,1,1,0.727272727272727,0.727272727272727,0.909090909090909,0.893939393939394
"F1",0.933333333333333,0.888888888888889,0.888888888888889,0.842105263157895,0.8,0.952380952380952,0.884266221108326
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.611111111111111,0.527753329812826
"Detection Rate",0.388888888888889,0.421052631578947,0.421052631578947,0.615384615384615,0.347826086956522,0.555555555555556,0.458293401657246
"Detection Prevalence",0.444444444444444,0.526315789473684,0.526315789473684,0.615384615384615,0.391304347826087,0.555555555555556,0.509886757026345
"Balanced Accuracy",0.954545454545455,0.909090909090909,0.909090909090909,0.863636363636364,0.821969696969697,0.954545454545455,0.902146464646465
