"","Breast","CRC","GBM","Lung","average"
"Sensitivity",1,1,0.875,0.818181818181818,0.923295454545454
"Specificity",0.727272727272727,0.727272727272727,1,1,0.863636363636364
"Pos Pred Value",0.7,0.727272727272727,1,1,0.856818181818182
"Neg Pred Value",1,1,0.916666666666667,0.857142857142857,0.943452380952381
"Precision",0.7,0.727272727272727,1,1,0.856818181818182
"Recall",1,1,0.875,0.818181818181818,0.923295454545454
"F1",0.823529411764706,0.842105263157895,0.933333333333333,0.9,0.874742002063984
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.478260869565217,0.427313755403
"Detection Rate",0.388888888888889,0.421052631578947,0.368421052631579,0.391304347826087,0.392416730231375
"Detection Prevalence",0.555555555555556,0.578947368421053,0.368421052631579,0.391304347826087,0.473557081108569
"Balanced Accuracy",0.863636363636364,0.863636363636364,0.9375,0.909090909090909,0.893465909090909
