"","Breast","CRC","GBM","Lung","average"
"Sensitivity",1,1,1,0.454545454545455,0.863636363636364
"Specificity",0.727272727272727,0.727272727272727,1,0.916666666666667,0.84280303030303
"Pos Pred Value",0.7,0.727272727272727,1,0.833333333333333,0.815151515151515
"Neg Pred Value",1,1,1,0.647058823529412,0.911764705882353
"Precision",0.7,0.727272727272727,1,0.833333333333333,0.815151515151515
"Recall",1,1,1,0.454545454545455,0.863636363636364
"F1",0.823529411764706,0.842105263157895,1,0.588235294117647,0.813467492260062
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.478260869565217,0.427313755403
"Detection Rate",0.388888888888889,0.421052631578947,0.421052631578947,0.217391304347826,0.362096364098652
"Detection Prevalence",0.555555555555556,0.578947368421053,0.421052631578947,0.260869565217391,0.454106280193237
"Balanced Accuracy",0.863636363636364,0.863636363636364,1,0.685606060606061,0.853219696969697
