"","Breast","CRC","GBM","Lung","average"
"Sensitivity",1,1,0.75,0.272727272727273,0.755681818181818
"Specificity",0.727272727272727,0.727272727272727,1,1,0.863636363636364
"Pos Pred Value",0.7,0.727272727272727,1,1,0.856818181818182
"Neg Pred Value",1,1,0.846153846153846,0.6,0.861538461538461
"Precision",0.7,0.727272727272727,1,1,0.856818181818182
"Recall",1,1,0.75,0.272727272727273,0.755681818181818
"F1",0.823529411764706,0.842105263157895,0.857142857142857,0.428571428571429,0.737837240159222
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.478260869565217,0.427313755403
"Detection Rate",0.388888888888889,0.421052631578947,0.315789473684211,0.130434782608696,0.314041444190186
"Detection Prevalence",0.555555555555556,0.578947368421053,0.315789473684211,0.130434782608696,0.395181795067379
"Balanced Accuracy",0.863636363636364,0.863636363636364,0.875,0.636363636363636,0.809659090909091
