"","Breast","CRC","GBM","Lung","average"
"Sensitivity",1,1,0.75,0.727272727272727,0.869318181818182
"Specificity",0.909090909090909,0.818181818181818,0.909090909090909,0.916666666666667,0.888257575757576
"Pos Pred Value",0.875,0.8,0.857142857142857,0.888888888888889,0.855257936507936
"Neg Pred Value",1,1,0.833333333333333,0.785714285714286,0.904761904761905
"Precision",0.875,0.8,0.857142857142857,0.888888888888889,0.855257936507936
"Recall",1,1,0.75,0.727272727272727,0.869318181818182
"F1",0.933333333333333,0.888888888888889,0.8,0.8,0.855555555555556
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.478260869565217,0.427313755403
"Detection Rate",0.388888888888889,0.421052631578947,0.315789473684211,0.347826086956522,0.368389270277142
"Detection Prevalence",0.444444444444444,0.526315789473684,0.368421052631579,0.391304347826087,0.432621408593948
"Balanced Accuracy",0.954545454545455,0.909090909090909,0.829545454545455,0.821969696969697,0.878787878787879
