"","Breast","CRC","GBM","Lung","Pancreas","average"
"Sensitivity",1,1,1,0.454545454545455,0.636363636363636,0.818181818181818
"Specificity",0.727272727272727,0.727272727272727,1,0.916666666666667,1,0.874242424242424
"Pos Pred Value",0.7,0.727272727272727,1,0.833333333333333,1,0.852121212121212
"Neg Pred Value",1,1,1,0.647058823529412,0.636363636363636,0.85668449197861
"Precision",0.7,0.727272727272727,1,0.833333333333333,1,0.852121212121212
"Recall",1,1,1,0.454545454545455,0.636363636363636,0.818181818181818
"F1",0.823529411764706,0.842105263157895,1,0.588235294117647,0.777777777777778,0.806329549363605
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.478260869565217,0.611111111111111,0.464073226544622
"Detection Rate",0.388888888888889,0.421052631578947,0.421052631578947,0.217391304347826,0.388888888888889,0.3674548690567
"Detection Prevalence",0.555555555555556,0.578947368421053,0.421052631578947,0.260869565217391,0.388888888888889,0.441062801932367
"Balanced Accuracy",0.863636363636364,0.863636363636364,1,0.685606060606061,0.818181818181818,0.846212121212121
