"","Breast","CRC","GBM","Lung","Pancreas","average"
"Sensitivity",1,1,0.75,0.727272727272727,0.909090909090909,0.877272727272727
"Specificity",0.909090909090909,0.818181818181818,0.909090909090909,0.916666666666667,1,0.910606060606061
"Pos Pred Value",0.875,0.8,0.857142857142857,0.888888888888889,1,0.884206349206349
"Neg Pred Value",1,1,0.833333333333333,0.785714285714286,0.875,0.898809523809524
"Precision",0.875,0.8,0.857142857142857,0.888888888888889,1,0.884206349206349
"Recall",1,1,0.75,0.727272727272727,0.909090909090909,0.877272727272727
"F1",0.933333333333333,0.888888888888889,0.8,0.8,0.952380952380952,0.874920634920635
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.478260869565217,0.611111111111111,0.464073226544622
"Detection Rate",0.388888888888889,0.421052631578947,0.315789473684211,0.347826086956522,0.555555555555556,0.405822527332825
"Detection Prevalence",0.444444444444444,0.526315789473684,0.368421052631579,0.391304347826087,0.555555555555556,0.45720823798627
"Balanced Accuracy",0.954545454545455,0.909090909090909,0.829545454545455,0.821969696969697,0.954545454545455,0.893939393939394
