"","Breast","CRC","GBM","Hepatobiliary","Lung","average"
"Sensitivity",1,1,0.875,0.909090909090909,0.818181818181818,0.920454545454545
"Specificity",0.727272727272727,0.727272727272727,1,1,1,0.890909090909091
"Pos Pred Value",0.7,0.727272727272727,1,1,1,0.885454545454545
"Neg Pred Value",1,1,0.916666666666667,0.666666666666667,0.857142857142857,0.888095238095238
"Precision",0.7,0.727272727272727,1,1,1,0.885454545454545
"Recall",1,1,0.875,0.909090909090909,0.818181818181818,0.920454545454545
"F1",0.823529411764706,0.842105263157895,0.933333333333333,0.952380952380952,0.9,0.890269792127377
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.511081773553169
"Detection Rate",0.388888888888889,0.421052631578947,0.368421052631579,0.769230769230769,0.391304347826087,0.467779538031254
"Detection Prevalence",0.555555555555556,0.578947368421053,0.368421052631579,0.769230769230769,0.391304347826087,0.532691818733009
"Balanced Accuracy",0.863636363636364,0.863636363636364,0.9375,0.954545454545455,0.909090909090909,0.905681818181818
