"","Breast","CRC","GBM","Hepatobiliary","Lung","average"
"Sensitivity",1,1,1,0.818181818181818,0.454545454545455,0.854545454545455
"Specificity",0.727272727272727,0.727272727272727,1,1,0.916666666666667,0.874242424242424
"Pos Pred Value",0.7,0.727272727272727,1,1,0.833333333333333,0.852121212121212
"Neg Pred Value",1,1,1,0.5,0.647058823529412,0.829411764705882
"Precision",0.7,0.727272727272727,1,1,0.833333333333333,0.852121212121212
"Recall",1,1,1,0.818181818181818,0.454545454545455,0.854545454545455
"F1",0.823529411764706,0.842105263157895,1,0.9,0.588235294117647,0.83077399380805
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.511081773553169
"Detection Rate",0.388888888888889,0.421052631578947,0.421052631578947,0.692307692307692,0.217391304347826,0.42813862974046
"Detection Prevalence",0.555555555555556,0.578947368421053,0.421052631578947,0.692307692307692,0.260869565217391,0.501746562616128
"Balanced Accuracy",0.863636363636364,0.863636363636364,1,0.909090909090909,0.685606060606061,0.86439393939394
