"","Breast","CRC","GBM","Hepatobiliary","Lung","average"
"Sensitivity",1,1,0.75,0.818181818181818,0.272727272727273,0.768181818181818
"Specificity",0.727272727272727,0.727272727272727,1,1,1,0.890909090909091
"Pos Pred Value",0.7,0.727272727272727,1,1,1,0.885454545454545
"Neg Pred Value",1,1,0.846153846153846,0.5,0.6,0.789230769230769
"Precision",0.7,0.727272727272727,1,1,1,0.885454545454545
"Recall",1,1,0.75,0.818181818181818,0.272727272727273,0.768181818181818
"F1",0.823529411764706,0.842105263157895,0.857142857142857,0.9,0.428571428571429,0.770269792127377
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.511081773553169
"Detection Rate",0.388888888888889,0.421052631578947,0.315789473684211,0.692307692307692,0.130434782608696,0.389694693813687
"Detection Prevalence",0.555555555555556,0.578947368421053,0.315789473684211,0.692307692307692,0.130434782608696,0.454606974515442
"Balanced Accuracy",0.863636363636364,0.863636363636364,0.875,0.909090909090909,0.636363636363636,0.829545454545455
