"","Breast","CRC","GBM","Hepatobiliary","Lung","average"
"Sensitivity",1,1,0.75,0.818181818181818,0.727272727272727,0.859090909090909
"Specificity",0.909090909090909,0.818181818181818,0.909090909090909,1,0.916666666666667,0.910606060606061
"Pos Pred Value",0.875,0.8,0.857142857142857,1,0.888888888888889,0.884206349206349
"Neg Pred Value",1,1,0.833333333333333,0.5,0.785714285714286,0.823809523809524
"Precision",0.875,0.8,0.857142857142857,1,0.888888888888889,0.884206349206349
"Recall",1,1,0.75,0.818181818181818,0.727272727272727,0.859090909090909
"F1",0.933333333333333,0.888888888888889,0.8,0.9,0.8,0.864444444444444
"Prevalence",0.388888888888889,0.421052631578947,0.421052631578947,0.846153846153846,0.478260869565217,0.511081773553169
"Detection Rate",0.388888888888889,0.421052631578947,0.315789473684211,0.692307692307692,0.347826086956522,0.433172954683252
"Detection Prevalence",0.444444444444444,0.526315789473684,0.368421052631579,0.692307692307692,0.391304347826087,0.484558665336697
"Balanced Accuracy",0.954545454545455,0.909090909090909,0.829545454545455,0.909090909090909,0.821969696969697,0.884848484848485
